pitch_type,batted_ball_type,hit_x,hit_y,exit_velocity,launch_angle,outcome,batter_stand,hit_distance,player
SL,ground_ball,-38.97,90.75,90.3,-17.3,single,R,NA,bell
SL,fly_ball,-88.61,118.08,96.4,37.8,home_run,R,350,bell
SL,line_drive,81.42,87.19,98.8,17.1,double,L,NA,bell
FT,ground_ball,-11.54,45.03,97.1,-1.8,force_out,L,30,bell
SL,ground_ball,32.15,35.89,82.9,-20.7,field_out,L,NA,bell
SL,ground_ball,22.49,44.52,82.9,-20.7,field_out,L,NA,bell
KC,ground_ball,-9.14,56.12,106.5,1.8,field_out,L,66,bell
CH,fly_ball,-39.21,109.01,94.2,52.4,field_out,L,278,bell
FF,ground_ball,41.73,47.03,87,-36.3,field_out,L,5,bell
CH,line_drive,8.48,109.92,89.4,10.7,single,L,217,bell
CH,ground_ball,4.18,18.57,68.5,-1.7,field_out,R,26,bell
FC,ground_ball,-15.2,45.82,70.1,-8.4,grounded_into_double_play,R,16,bell
CH,line_drive,-40.76,58.91,82.5,12.9,single,R,157,bell
FT,line_drive,25.53,163.73,112.1,11.3,double,R,342,bell
SI,ground_ball,-13.38,28.86,79.4,-26.8,field_out,R,4,bell
FC,line_drive,65.96,83.98,105.2,7.1,double,L,159,bell
FF,fly_ball,-50.11,76.28,94.3,59.4,field_out,L,220,bell
FF,fly_ball,-29.07,171.98,104.8,35.1,home_run,L,413,bell
FF,ground_ball,60.51,80.95,112.9,1.9,single,L,71,bell
FF,line_drive,44.68,147.44,107.9,17.2,double,L,365,bell
FC,ground_ball,16.9,49.46,90.5,-19.8,grounded_into_double_play,L,7,bell
FT,ground_ball,-23.68,88.22,110.7,-1,single,L,43,bell
CH,fly_ball,101.43,164.91,116.2,27.5,home_run,L,454,bell
FF,ground_ball,27.2,48.85,105,6.7,fielders_choice,L,120,bell
FT,ground_ball,17.51,45.82,80.5,-20.6,field_out,L,7,bell
FT,ground_ball,-18.83,31.89,99.1,-11.9,field_out,L,9,bell
CH,ground_ball,-21.18,30.94,102.7,-15.2,field_out,R,11,bell
SL,fly_ball,60.05,147.91,98,25.9,field_out,L,376,bell
CH,ground_ball,60.59,93.93,107.3,4.4,single,L,100,bell
FT,line_drive,-63.8,110.44,112.6,10.3,single,L,225,bell
SL,fly_ball,-68.3,144.4,100.7,31.7,home_run,R,379,bell
SL,fly_ball,42.83,176.99,109.7,25.4,home_run,R,430,bell
SI,ground_ball,7.29,8.53,70.1,-61.1,field_out,L,1,bell
FC,ground_ball,-10.27,47.9,100.8,-13.8,grounded_into_double_play,R,13,bell
SI,ground_ball,67.26,95.75,86.4,4.9,single,R,103,bell
CH,line_drive,-59.05,124.2,109.5,17.9,field_out,R,326,bell
FF,ground_ball,20.01,50.92,99.8,-5.7,field_out,R,19,bell
FF,fly_ball,31.18,152.94,98.5,26.7,field_out,R,370,bell
CH,fly_ball,-30.52,130.11,82.9,32.6,field_out,L,318,bell
SL,ground_ball,6.66,127.69,103.1,-17.8,single,L,6,bell
FT,line_drive,30.29,118.87,106.3,11.1,double,L,195,bell
SI,fly_ball,74.37,180.74,110.5,24.7,home_run,L,460,bell
FF,fly_ball,-14.04,188.2,110.4,21.1,home_run,L,446,bell
CH,ground_ball,22.88,31.37,108.2,-3.9,force_out,L,18,bell
KC,line_drive,4.05,99.08,79.1,15.7,single,L,193,bell
FT,ground_ball,20.34,95.75,91.2,5.6,single,R,115,bell
FF,line_drive,104,114.75,111.9,21,home_run,L,364,bell
FF,ground_ball,43.32,104.97,103.6,-13.7,single,L,12,bell
SI,line_drive,-28.81,113.61,108.8,5.7,single,L,156,bell
SI,line_drive,49.13,138.75,99.7,19.3,double,L,348,bell
FF,line_drive,-60.54,130.28,99.1,20.6,field_out,L,342,bell
SL,line_drive,35.7,111.6,111.9,8.7,single,L,163,bell
CU,ground_ball,24.53,41.99,96.5,4.7,field_out,L,88,bell
SI,ground_ball,-16.11,46.56,94.3,-7.9,single,L,13,bell
FC,ground_ball,-13.57,48.59,109.4,-8.4,field_out,L,14,bell
SI,ground_ball,28.59,33.86,82.9,-20.7,field_out,L,NA,bell
CU,line_drive,57.19,86.74,84.6,16.5,single,L,204,bell
FF,ground_ball,6.75,55.19,100.1,-2.9,field_out,L,31,bell
FF,fly_ball,-43.83,151.18,105.2,38,field_out,L,373,bell
CH,line_drive,32.81,40.62,78.2,12.4,single,L,160,bell
FT,line_drive,-62.43,138.37,98.2,29,field_out,L,360,bell
FF,fly_ball,45.49,125.68,93.7,42,field_out,R,318,bell
FF,fly_ball,112.49,167.43,114.9,25.1,home_run,L,472,bell
CU,line_drive,-63.79,149.01,107.7,11.7,double,L,335,bell
FF,ground_ball,21.14,33.71,77.9,-53.1,field_out,L,2,bell
SL,line_drive,68.26,109.49,88.7,21.5,field_out,L,305,bell
SI,ground_ball,-55.17,73.68,102.8,0.9,double,L,67,bell
FF,fly_ball,-77.12,100.64,98.9,49.2,field_out,L,301,bell
FF,fly_ball,-93.52,89.27,90.1,42.3,field_out,L,306,bell
FT,ground_ball,-14.59,43.4,101.2,-15.3,field_out,L,10,bell
FF,line_drive,-47.05,160.41,106.9,19.4,double,L,396,bell
FF,fly_ball,-10.36,113.66,92.6,47.7,field_out,R,293,bell
SI,fly_ball,21.42,189.93,111.3,22.2,home_run,L,451,bell
FC,fly_ball,101.85,125.23,103.5,26.7,home_run,L,379,bell
CH,fly_ball,-10.69,151.1,96.8,34.2,field_out,L,360,bell
CH,line_drive,-50.55,95.5,89.3,17.6,single,R,259,bell
SI,ground_ball,1.15,19.17,79.3,-30.5,force_out,R,3,bell
FF,line_drive,68.97,82.65,108.4,12.4,double,L,255,bell
CU,fly_ball,55.84,135.53,92.8,30.2,field_out,L,346,bell
FF,line_drive,-52.36,132.98,93.3,19,double,L,340,bell
SI,popup,-34.27,45.59,53.5,50.4,single,L,143,bell
SI,line_drive,-10.67,56.41,99.2,8.9,field_out,L,187,bell
CH,line_drive,-45.07,63.2,76.2,15.4,single,R,182,bell
CU,line_drive,68.44,136.66,97.5,24.3,double,R,361,bell
SL,ground_ball,-22.17,40.79,96.9,-7.9,field_out,R,9,bell
CU,line_drive,-28.1,48.53,97.2,11.2,field_out,R,183,bell
FF,line_drive,78.47,108.66,89.9,26.9,field_out,R,317,bell
SI,line_drive,57.7,94.88,101.8,12.5,field_out,R,265,bell
FT,line_drive,24.29,170,104.4,19.5,home_run,R,407,bell
FS,popup,-38.22,18.57,80,69,field_out,L,NA,bell
FF,ground_ball,-66.08,80.95,97.7,-1.6,double,L,47,bell
CH,ground_ball,24.77,36.13,91,-7.8,field_out,L,18,bell
CU,fly_ball,19.48,177.91,102,25.4,home_run,L,423,bell
CH,ground_ball,19.32,32.5,92.9,-10,field_out,L,16,bell
FC,fly_ball,47.18,87.61,89.2,39.3,field_out,L,NA,bell
SI,line_drive,-8.66,167.07,110.9,18.7,triple,L,396,bell
KC,ground_ball,1.76,14.33,82.9,-20.7,field_out,L,NA,bell
CH,ground_ball,-17.62,43.4,85,-13.3,field_out,R,12,bell
CH,fly_ball,107.6,140.78,105.9,29,home_run,L,416,bell
CH,ground_ball,-8.54,56.12,88.7,-7.7,field_out,L,18,bell
CH,ground_ball,-16.41,27.05,81.1,-36.3,field_out,R,3,bell
FF,ground_ball,-8.54,15.54,80.4,-39.8,field_out,R,3,bell
FC,ground_ball,-15.2,47.03,96.9,-16.3,field_out,R,6,bell
FF,ground_ball,47.18,92.46,107.7,-12.9,single,R,12,bell
CH,ground_ball,-22.39,32.15,71.9,0.9,grounded_into_double_play,L,41,bell
SL,fly_ball,-85.37,110.96,101.5,42.3,sac_fly,R,330,bell
FF,fly_ball,-95,96.09,90.3,34.7,field_out,L,320,bell
CU,line_drive,-48.71,107.91,97.5,10,single,L,226,bell
SL,ground_ball,-37.53,93.93,104,5.8,single,R,108,bell
SL,fly_ball,-16.41,173.33,105.3,29.8,field_out,R,411,bell
FC,line_drive,83.07,80.08,96.8,17.5,double,L,271,bell
FF,line_drive,48.89,155.55,106.8,18.5,double,L,385,bell
CH,popup,67.7,27.76,84.6,57,field_out,L,208,bell
FS,ground_ball,21.48,34.87,82.9,-20.7,field_out,L,NA,bell
CU,line_drive,-61.07,93.71,98.3,14.9,triple,L,268,bell
FS,fly_ball,-11.37,167.69,100.9,29.9,field_out,L,397,bell
FF,ground_ball,26.05,47.06,96.3,-13.5,field_out,L,11,bell
FF,fly_ball,-98.29,140.5,106,28.5,home_run,R,405,bell
SL,fly_ball,54.18,117.93,91.6,44.2,field_out,L,307,bell
FF,ground_ball,-8.54,55.51,96.7,-3.5,field_out,R,25,bell
CH,ground_ball,-4.9,51.88,75.4,-2,single,R,26,bell
FT,line_drive,-65.28,89.21,107.3,14,single,L,265,bell
SI,line_drive,84.1,77.93,95.4,19.1,single,R,271,bell
FC,ground_ball,35.07,30.07,82.9,-20.7,field_out,L,NA,bell
FF,ground_ball,34.46,31.29,82.9,-20.7,field_out,L,NA,bell
CH,ground_ball,-18.83,30.68,94.4,-13,field_out,L,10,bell
FF,ground_ball,35.07,33.71,80.3,-10.5,field_out,L,16,bell
FF,ground_ball,-13.99,51.88,94,1.2,force_out,R,54,bell
CU,line_drive,93.61,97.99,94.5,21.5,double,L,318,bell
FF,fly_ball,NA,NA,113.3,21.8,home_run,L,474,bell
SL,fly_ball,-8.79,125.5,81.3,32,field_out,R,301,bell
CH,fly_ball,23.42,181.08,108,23.5,home_run,L,432,bell
FT,line_drive,-53.7,151.85,104.8,18.8,double,L,382,bell
FF,line_drive,25.75,135.45,90.4,23.1,double,L,328,bell
FF,ground_ball,12.05,33.71,98.3,-9.5,fielders_choice_out,L,17,bell
CH,line_drive,24.98,52.35,78.9,12.5,field_out,L,155,bell
CH,ground_ball,72.02,80.95,92.5,-0.5,single,L,44,bell
FF,fly_ball,-46.68,143.62,102.4,39.1,field_out,L,359,bell
FF,ground_ball,20.68,105.49,111.5,-4.3,single,L,23,bell
FF,ground_ball,-18.37,30.72,107.4,-8.2,field_out,L,12,bell
FT,line_drive,-54.9,127.43,98.4,19.9,field_out,L,330,bell
CU,ground_ball,31.44,54.3,95.3,-12.8,field_out,L,9,bell
CU,ground_ball,17.51,51.27,108.4,4,field_out,L,101,bell
FF,ground_ball,1.81,2.06,82.9,-20.7,field_out,L,NA,bell
FC,line_drive,-48.7,99.89,81.2,26.7,sac_fly,L,267,bell
SI,ground_ball,22.46,44.16,105.6,-15,field_out,L,9,bell
SL,fly_ball,-2.62,142.1,92.1,34.7,field_out,L,338,bell
FT,line_drive,-8.16,119.79,96.3,12.5,field_out,L,288,bell
CH,ground_ball,35.2,60.98,81.8,2,field_out,L,60,bell
CU,line_drive,-11.43,111.25,103,10.9,single,L,271,bell
SL,fly_ball,-34.73,74.12,84.4,58.1,field_out,L,200,bell
CH,line_drive,63.28,89.13,77.7,21.8,single,L,259,bell
FF,popup,-53.67,22.75,80,69,field_out,L,NA,gallo
CU,ground_ball,-2.47,4.5,40,-36,single,L,NA,gallo
FF,fly_ball,32.23,163.14,101.7,29.1,field_out,L,392,gallo
CH,fly_ball,96.85,97.32,88.2,36.4,field_out,L,322,gallo
FF,fly_ball,-2.9,99.89,89.2,39.3,field_out,L,NA,gallo
SI,ground_ball,32.04,32.5,82.9,-20.7,field_out,L,NA,gallo
SL,fly_ball,-7.38,112.98,77.9,37.4,field_out,L,272,gallo
FC,fly_ball,-10.33,181,106.5,38.6,home_run,L,429,gallo
CH,fly_ball,68.49,88.58,98.5,55.7,field_out,L,265,gallo
CH,ground_ball,35.68,53.09,72.2,2.6,field_out,L,48,gallo
FC,popup,-16.41,37.95,80,69,field_out,L,NA,gallo
FF,fly_ball,53.36,144,109.9,47.9,field_out,L,362,gallo
KC,fly_ball,77.66,151.37,104.9,25.9,home_run,L,401,gallo
CH,ground_ball,6,15.54,53.9,-40.9,field_out,L,3,gallo
FT,ground_ball,24.77,45.82,99.1,4,double,L,75,gallo
FF,ground_ball,-5.61,3.61,39.7,-30.6,single,L,5,gallo
CU,fly_ball,97.11,97.63,90.1,32.5,double,L,329,gallo
FF,fly_ball,43.98,143.49,103.4,43.3,field_out,L,354,gallo
CH,line_drive,11.91,111.51,79.6,28.6,single,L,268,gallo
SL,fly_ball,-80.91,102.05,92.7,45.4,field_out,L,308,gallo
FC,ground_ball,24.17,30.68,65.1,-32.9,field_out,L,2,gallo
FF,ground_ball,-1.94,9.05,41,-39,sac_bunt,L,NA,gallo
SL,fly_ball,112.07,148.42,109.5,30.3,home_run,L,436,gallo
SL,ground_ball,-9.81,7.84,40.7,-54.9,single,L,2,gallo
SI,line_drive,77.09,87.5,98.8,13.1,double,L,223,gallo
FF,popup,-21.93,7.84,80,69,field_out,L,NA,gallo
CH,ground_ball,35.61,55.08,76.2,5.6,field_out,L,69,gallo
SI,popup,-86.29,89.98,87.4,39.9,field_out,L,295,gallo
FS,ground_ball,-10.92,40.1,58,-48.1,single,L,2,gallo
FC,fly_ball,-58.16,168.8,108.7,25.5,home_run,L,422,gallo
SI,fly_ball,112.61,132.54,113.5,29.8,home_run,L,408,gallo
SL,fly_ball,8.66,117.91,96,51.3,field_out,L,282,gallo
FT,fly_ball,79.75,117,87.5,28.8,field_out,L,333,gallo
SL,line_drive,43.7,113.06,99.8,19.9,double,L,288,gallo
FF,fly_ball,63.69,171.43,107.3,28.5,home_run,L,431,gallo
SI,fly_ball,-76.14,88.76,98.4,54.6,field_out,L,278,gallo
FF,fly_ball,39.52,189.98,112.6,26.5,home_run,L,457,gallo
FF,popup,-30.95,5.85,80,69,field_out,L,NA,gallo
CH,line_drive,44.89,72.47,111.3,10.8,single,L,205,gallo
CU,line_drive,63.94,80.04,90.4,14.6,single,L,NA,gallo
CU,fly_ball,-10.08,128.57,93.9,44.6,field_out,L,307,gallo
FF,popup,35.56,60.9,80,69,field_out,L,NA,gallo
CU,ground_ball,34.35,48.18,82.9,-20.7,field_out,L,NA,gallo
SL,popup,-15.42,24.88,80,69,field_out,L,NA,gallo
CH,ground_ball,33.03,32.15,74.5,-4,field_out,L,16,gallo
FF,line_drive,101.02,110.36,110.1,21.1,home_run,L,352,gallo
SL,line_drive,99.11,109.94,106,23,double,L,346,gallo
FF,fly_ball,-37.97,160.78,103,30,home_run,L,NA,gallo
FC,line_drive,41.33,77.37,80.9,19.3,single,L,211,gallo
SL,ground_ball,22.96,8.88,70.2,-1.2,single,L,29,gallo
CH,ground_ball,29.62,39.16,74.6,-2.2,field_out,L,27,gallo
SI,ground_ball,23.62,51.03,107.1,5.1,field_out,L,98,gallo
SI,line_drive,50.02,112.38,111.9,12.6,single,L,241,gallo
FF,popup,-37,15.54,80,69,field_out,L,NA,gallo
FF,line_drive,42.94,55.51,101.7,9.8,single,L,169,gallo
CU,line_drive,94.99,103.72,111.2,21.8,double,L,329,gallo
FF,line_drive,61.52,57,103.7,14.3,double,L,199,gallo
KC,fly_ball,51.13,162.08,103.3,25.3,double,L,400,gallo
KC,fly_ball,-101.71,136.54,105.6,42.7,home_run,L,402,gallo
FF,line_drive,46.93,97.65,111.2,11.9,single,L,189,gallo
FF,popup,-54.21,30.3,92.2,67.4,field_out,L,163,gallo
FF,line_drive,77.38,79.03,103,18.1,double,L,260,gallo
FF,fly_ball,-37.96,111.03,105.4,54.3,double,L,280,gallo
FF,ground_ball,35.19,54.68,103,-0.8,field_out,L,38,gallo
FF,popup,-24.75,34.87,80,69,field_out,L,NA,gallo
FF,fly_ball,29.82,153.6,102.5,37.3,field_out,L,370,gallo
FC,ground_ball,2.47,16.77,58.6,-46.8,field_out,L,2,gallo
FC,fly_ball,33.7,184.74,109.8,29.4,home_run,L,443,gallo
FT,line_drive,61.63,61.23,90,17.7,double,L,206,gallo
SL,fly_ball,8.27,143.33,89.2,33.1,field_out,L,341,gallo
FT,ground_ball,-6.72,117.29,93.5,4.7,single,L,95,gallo
FF,line_drive,4.18,14.33,85.6,5.9,field_out,L,88,gallo
FF,ground_ball,-17.02,36.74,60.7,-20.6,single,L,7,gallo
FT,line_drive,34.26,142.58,111,15.7,single,L,280,gallo
FS,ground_ball,-0.66,19.17,82.9,-20.7,field_out,L,NA,gallo
FT,ground_ball,19.32,45.82,73.5,-14.8,field_out,L,6,gallo
FF,line_drive,111.82,102.95,114.4,22.2,home_run,L,356,gallo
FF,fly_ball,-13.19,105.36,84.1,49.5,field_out,L,255,gallo
CH,ground_ball,-17.02,47.03,69.5,-4.4,field_out,L,20,gallo
FF,fly_ball,67.08,186.89,108.6,31.6,home_run,L,467,gallo
CU,fly_ball,-23.2,103.44,102.8,56.6,field_out,L,254,gallo
CH,fly_ball,65.62,144.86,100.8,32.4,home_run,L,376,gallo
KC,fly_ball,-42.55,134.27,91.1,31.3,field_out,L,335,gallo
FF,ground_ball,33.53,37.96,80.6,-22.9,field_out,L,4,gallo
FF,popup,20.85,50.13,102.4,65.8,field_out,L,156,gallo
FF,fly_ball,-16.65,147.08,107.3,45.1,field_out,L,351,gallo
FF,line_drive,60.54,153.77,112.7,20.8,double,L,389,gallo
FF,line_drive,50.94,69.27,104.4,15.1,single,L,206,gallo
FT,line_drive,23.31,116.43,83.4,26.8,single,L,284,gallo
FF,popup,-10.96,50.06,107.2,63.2,single,L,217,gallo
FF,fly_ball,-34.04,161.38,104.1,41,sac_fly,L,389,gallo
SL,ground_ball,33.25,29.47,93,-6.6,field_out,L,17,gallo
SL,line_drive,70.62,66.13,91.4,21.1,triple,L,228,gallo
CH,line_drive,19.12,139.4,111.4,18.3,field_out,L,334,gallo
KC,ground_ball,96.24,79.74,107.6,4,double,L,97,gallo
KC,fly_ball,111.99,108.21,110.7,34.6,home_run,L,433,gallo
FF,fly_ball,NA,NA,113.4,33.1,home_run,L,442,gallo
FF,line_drive,39.54,97.55,91,14.3,single,L,181,gallo
CU,fly_ball,-5.73,98.41,90.6,53.9,field_out,L,237,gallo
FF,fly_ball,84.64,109.44,86.8,33.7,field_out,L,325,gallo
CH,line_drive,NA,NA,114.4,17,single,L,304,gallo
FF,fly_ball,NA,NA,110.3,32.1,home_run,L,439,gallo
SL,line_drive,87.61,97.98,111.8,18.6,double,L,308,gallo
FF,ground_ball,-10.96,41.58,103.7,-0.4,single,L,54,gallo
SI,line_drive,102.74,154.81,115.1,25.4,home_run,L,436,gallo
KC,ground_ball,16.9,44.61,70,-34.5,field_out,L,3,gallo
CH,ground_ball,16.29,54.3,99.3,2,field_out,L,56,gallo
CH,line_drive,31.09,37.46,82.2,12.4,field_out,L,125,gallo
CH,ground_ball,8.18,53.17,106.4,-12.3,field_out,L,10,gallo
EP,line_drive,32.12,35.33,91.5,10.1,field_out,L,122,gallo
CU,ground_ball,31.5,39.48,89.2,4.8,field_out,L,71,gallo
SL,fly_ball,40.87,100.74,99.4,54.9,field_out,L,244,gallo
CH,fly_ball,73.79,172.05,111,31.3,home_run,L,441,gallo
SL,fly_ball,64.38,146.62,109.2,39.8,home_run,L,379,gallo
FF,line_drive,29.14,46.84,109.1,11.6,double_play,L,172,gallo
CH,ground_ball,32.77,45.62,73,0.3,field_out,L,34,gallo
FF,fly_ball,44.08,168.35,107.4,33.3,home_run,L,411,gallo
CU,ground_ball,30.22,51.27,79.6,1.9,single,L,44,gallo
CU,ground_ball,23.56,24.02,104.8,0.9,double_play,L,46,gallo
SL,ground_ball,51.42,60.96,106.8,1.8,field_out,L,62,gallo
SL,ground_ball,21.14,60.36,102.8,7.2,field_out,L,118,gallo
FT,fly_ball,-86.44,127.52,104.4,29.6,double,L,363,gallo
CU,line_drive,-44.93,106.73,100.7,14.6,single,L,277,gallo
FC,fly_ball,-32.19,92.67,79.6,49,field_out,L,236,gallo
FF,fly_ball,-32.88,180.17,109.6,33.5,home_run,L,433,gallo
FF,fly_ball,-76.59,106.29,101,49.4,field_out,L,310,gallo
CU,ground_ball,11.38,20.27,54,-46.3,force_out,L,3,gallo
SL,line_drive,63.6,119.1,115.4,19.5,field_out,L,318,gallo
FC,ground_ball,19.41,58.33,83.9,8.9,field_out,L,106,gallo
